Foto,Referencia,Precio
C-1916/A.jpg,Collar C-1916,207€
C-1916/B.jpg,Collar C-1916,207€
C-1917/A.jpg,Collar C-1917,138 €
C-1917/B.jpg,Collar C-1917,138 €
C-1917/C.jpg,Collar C-1917,138 €
C-1918/A.jpg,Collar C-1918,87 €
C-1918/B.jpg,Collar C-1918,87 €
C-1918/C.jpg,Collar C-1918,87 €
C-1919/A.jpg,Collar C-1919,96 €
C-1919/B.jpg,Collar C-1919,96 €
C-1919/C.jpg,Collar C-1919,96 €
C-1920/A.jpg,Collar C-1920,138 €
C-1920/B.jpg,Collar C-1920,138 €
C-1920/C.jpg,Collar C-1920,138 €
C-1921/A.jpg,Collar C-1921,165 €
C-1921/B.jpg,Collar C-1921,165 €
C-1921/C.jpg,Collar C-1921,165 €
C-1922.jpg,Collar C-1922,147 €
C-1923.jpg,Collar C-1923,162 €
C-1925/A.jpg,Collar C-1925,147 €
C-1925/B.jpg,Collar C-1925,147 €
C-1925/C.jpg,Collar C-1925,147 €
C-1927/A.jpg,Collar C-1927,111 €
C-1927/B.jpg,Collar C-1927,111 €
C-1927/C.jpg,Collar C-1927,111 €
C-1927/D.jpg,Collar C-1927,111 €
C-1927/E.jpg,Collar C-1927,111 €
C-1927/F.jpg,Collar C-1927,111 €
C-1927/G.jpg,Collar C-1927,111 €
C-1928/A.jpg,Collar C-1928,45 €
C-1928/B.jpg,Collar C-1928,45 €
C-1928/C.jpg,Collar C-1928,45 €
C-1928/D.jpg,Collar C-1928,45 €
C-1928/E.jpg,Collar C-1928,45 €
C-1928/F.jpg,Collar C-1928,45 €
C-1928/G.jpg,Collar C-1928,45 €
C-1928/H.jpg,Collar C-1928,45 €
C-1929/A.jpg,Collar C-1929,39 €
C-1929/B.jpg,Collar C-1929,39 €
C-1929/C.jpg,Collar C-1929,39 €
C-1929/D.jpg,Collar C-1929,39 €
C-1929/E.jpg,Collar C-1929,39 €
C-1929/F.jpg,Collar C-1929,39 €
C-1929/G.jpg,Collar C-1929,39 €
C-1929/H.jpg,Collar C-1929,39 €
C-1929/J.jpg,Collar C-1929,39 €
C-1929/K.jpg,Collar C-1929,39 €
C-1929/L.jpg,Collar C-1929,39 €
C-1930/A.jpg,Collar C-1930,39 €
C-1930/B.jpg,Collar C-1930,39 €
C-1930/C.jpg,Collar C-1930,39 €
C-1930/E.jpg,Collar C-1930,39 €
C-1930/F.jpg,Collar C-1930,39 €
C-1930/G.jpg,Collar C-1930,39 €
C-1930/H.jpg,Collar C-1930,39 €
C-1930/K.jpg,Collar C-1930,39 €
C-1930/L.jpg,Collar C-1930,39 €
C-1933/A.jpg,Collar C-1933,147 €
C-1933/B.jpg,Collar C-1933,147 €
C-1934/A.jpg,Collar C-1934,117 €
C-1934/B.jpg,Collar C-1934,117 €
C-1934/C.jpg,Collar C-1934,117 €
C-1936/A.jpg,Collar C-1936,177 €
C-1936/B.jpg,Collar C-1936,177 €
C-1938/A.jpg,Collar C-1938,126 €
C-1938/B.jpg,Collar C-1938,126 €
C-1938/C.jpg,Collar C-1938,126 €
C-1940/A.jpg,Collar C-1940,141 €
C-1940/B.jpg,Collar C-1940,141 €
C-1940/C.jpg,Collar C-1940,141 €
C-1943/A.jpg,Collar C-1943,135 €
C-1943/B.jpg,Collar C-1943,135 €
C-1945/A.jpg,Collar C-1945,63 €
C-1945/B.jpg,Collar C-1945,63 €
C-1945/C.jpg,Collar C-1945,63 €
C-1946/A.jpg,Collar C-1946,198 €
C-1946/B.jpg,Collar C-1946,198 €
C-1946/C.jpg,Collar C-1946,198 €
C-1946/D.jpg,Collar C-1946,198 €
C-1946/E.jpg,Collar C-1946,198 €
C-1947/A.jpg,Collar C-1947,117 €
C-1947/B.jpg,Collar C-1947,117 €
C-1948/A.jpg,Collar C-1948,147 €
C-1948/B.jpg,Collar C-1948,147 €
C-1949/A.jpg,Collar C-1949,57 €
C-1949/B.jpg,Collar C-1949,57 €
C-1949/C.jpg,Collar C-1949,57 €
C-1950/A.jpg,Collar C-1950,111 €
C-1950/B.jpg,Collar C-1950,111 €
C-1950/C.jpg,Collar C-1950,111 €
C-1952/A.jpg,Collar C-1952,69 €
C-1952/B.jpg,Collar C-1952,69 €
C-1952/C.jpg,Collar C-1952,69 €
C-1952/D.jpg,Collar C-1952,69 €
C-1952/E.jpg,Collar C-1952,69 €
C-1952/F.jpg,Collar C-1952,69 €
C-1953/A.jpg,Collar C-1953,114 €
C-1953/B.jpg,Collar C-1953,114 €
C-1953/C.jpg,Collar C-1953,114 €
C-1953/D.jpg,Collar C-1953,114 €
C-1955/A.jpg,Collar C-1955,126 €
C-1955/B.jpg,Collar C-1955,126 €
C-1955/C.jpg,Collar C-1955,126 €